rank,model,harness,pass_at_1_percent,ci_95_percent,new
1,claude-fable-5 (xhigh),Claude Code,67.3,5.0,false
2,gpt-5.6-sol (xhigh),Codex,63.7,5.2,false
3,gpt-5.6-sol (high),Codex,63.1,5.2,false
4,muse-spark-1.2 [high],Muse Code,61.0,5.2,true
5,gpt-5.6-sol (medium),Codex,58.6,5.3,false
6,kimi-k3,Kimi Code,58.0,5.3,false
7,claude-opus-4-8,Claude Code,55.9,5.3,false
8,gpt-5.5,Codex,54.7,5.3,false
9,gemini-3-pro-preview,Gemini CLI,53.8,5.4,false
10,gpt-5.4,Codex,52.0,5.4,false
11,gemini-3-flash-preview,Gemini CLI,46.8,5.4,false
12,gpt-5.4-mini,Codex,43.2,5.3,false
13,glm-5.2,OpenCode,38.4,5.2,false
14,claude-sonnet-4-5,Claude Code,34.8,5.1,false
15,kimi-k2.5,OpenHands,20.7,4.4,false
16,claude-haiku-4-5,Claude Code,18.6,4.2,false
17,qwen3.5-397b,OpenHands,5.4,2.4,false
